Run,Sample,BioProject
SRR1735149,SRS803929,PRJNA257197
SRR1735150,SRS803930,PRJNA257197
SRR1735141,SRS803921,PRJNA257197
SRR1735142,SRS803922,PRJNA257197
SRR1735143,SRS803923,PRJNA257197
SRR1735145,SRS803924,PRJNA257197
SRR1735144,SRS803925,PRJNA257197
SRR1735136,SRS803916,PRJNA257197
SRR1735137,SRS803917,PRJNA257197
SRR1735138,SRS803918,PRJNA257197
SRR1735139,SRS803919,PRJNA257197
SRR1735140,SRS803920,PRJNA257197
SRR1735131,SRS803911,PRJNA257197
SRR1735132,SRS803912,PRJNA257197
SRR1735133,SRS803913,PRJNA257197
SRR1735135,SRS803914,PRJNA257197
SRR1735134,SRS803915,PRJNA257197
SRR1735126,SRS803904,PRJNA257197
SRR1735127,SRS803907,PRJNA257197
SRR1735128,SRS803908,PRJNA257197
SRR1735129,SRS803909,PRJNA257197
SRR1735130,SRS803910,PRJNA257197
SRR1735122,SRS803901,PRJNA257197
SRR1735121,SRS803902,PRJNA257197
SRR1735123,SRS803903,PRJNA257197
SRR1735124,SRS803905,PRJNA257197
SRR1735125,SRS803906,PRJNA257197
SRR1735116,SRS803896,PRJNA257197
SRR1735117,SRS803897,PRJNA257197
SRR1735119,SRS803898,PRJNA257197
SRR1735118,SRS803899,PRJNA257197
SRR1735120,SRS803900,PRJNA257197
SRR1735111,SRS803891,PRJNA257197
SRR1735112,SRS803892,PRJNA257197
SRR1735113,SRS803893,PRJNA257197
SRR1735114,SRS803894,PRJNA257197
SRR1735115,SRS803895,PRJNA257197
SRR1735106,SRS803885,PRJNA257197
SRR1735107,SRS803886,PRJNA257197
SRR1735110,SRS803888,PRJNA257197
SRR1735109,SRS803889,PRJNA257197
SRR1735108,SRS803890,PRJNA257197
SRR1735101,SRS803880,PRJNA257197
SRR1735102,SRS803881,PRJNA257197
SRR1735103,SRS803882,PRJNA257197
SRR1735104,SRS803883,PRJNA257197
SRR1735105,SRS803884,PRJNA257197
SRR1735096,SRS803876,PRJNA257197
SRR1735097,SRS803877,PRJNA257197
SRR1735098,SRS803878,PRJNA257197
SRR1735100,SRS803879,PRJNA257197
SRR1735099,SRS803887,PRJNA257197
SRR1735091,SRS803870,PRJNA257197
SRR1735092,SRS803872,PRJNA257197
SRR1735093,SRS803873,PRJNA257197
SRR1735095,SRS803874,PRJNA257197
SRR1735094,SRS803875,PRJNA257197
SRR1735086,SRS803866,PRJNA257197
SRR1735087,SRS803867,PRJNA257197
SRR1735088,SRS803868,PRJNA257197
SRR1735089,SRS803869,PRJNA257197
SRR1735090,SRS803871,PRJNA257197
SRR1735082,SRS803860,PRJNA257197
SRR1735081,SRS803861,PRJNA257197
SRR1735083,SRS803863,PRJNA257197
SRR1735085,SRS803864,PRJNA257197
SRR1735084,SRS803865,PRJNA257197
SRR1735076,SRS803855,PRJNA257197
SRR1735078,SRS803857,PRJNA257197
SRR1735079,SRS803858,PRJNA257197
SRR1735077,SRS803859,PRJNA257197
SRR1735080,SRS803862,PRJNA257197
SRR1735071,SRS803851,PRJNA257197
SRR1735073,SRS803852,PRJNA257197
SRR1735072,SRS803853,PRJNA257197
SRR1735074,SRS803854,PRJNA257197
SRR1735075,SRS803856,PRJNA257197
SRR1735066,SRS803846,PRJNA257197
SRR1735067,SRS803847,PRJNA257197
SRR1735068,SRS803848,PRJNA257197
SRR1735070,SRS803849,PRJNA257197
SRR1735069,SRS803850,PRJNA257197
SRR1735061,SRS803839,PRJNA257197
SRR1735062,SRS803842,PRJNA257197
SRR1735064,SRS803843,PRJNA257197
SRR1735063,SRS803844,PRJNA257197
SRR1735065,SRS803845,PRJNA257197
SRR1735056,SRS803836,PRJNA257197
SRR1735057,SRS803837,PRJNA257197
SRR1735058,SRS803838,PRJNA257197
SRR1735059,SRS803840,PRJNA257197
SRR1735060,SRS803841,PRJNA257197
SRR1735051,SRS803830,PRJNA257197
SRR1735052,SRS803832,PRJNA257197
SRR1735053,SRS803833,PRJNA257197
SRR1735054,SRS803834,PRJNA257197
SRR1735055,SRS803835,PRJNA257197
SRR1735046,SRS803826,PRJNA257197
SRR1735047,SRS803827,PRJNA257197
SRR1735048,SRS803828,PRJNA257197
SRR1735049,SRS803829,PRJNA257197
SRR1735050,SRS803831,PRJNA257197
SRR1735042,SRS803821,PRJNA257197
SRR1735041,SRS803822,PRJNA257197
SRR1735043,SRS803823,PRJNA257197
SRR1735044,SRS803824,PRJNA257197
SRR1735045,SRS803825,PRJNA257197
SRR1735036,SRS803816,PRJNA257197
SRR1735037,SRS803817,PRJNA257197
SRR1735039,SRS803818,PRJNA257197
SRR1735038,SRS803819,PRJNA257197
SRR1735040,SRS803820,PRJNA257197
SRR1735031,SRS803811,PRJNA257197
SRR1735032,SRS803812,PRJNA257197
SRR1735033,SRS803813,PRJNA257197
SRR1735034,SRS803814,PRJNA257197
SRR1735035,SRS803815,PRJNA257197
SRR1735026,SRS803806,PRJNA257197
SRR1735027,SRS803807,PRJNA257197
SRR1735029,SRS803808,PRJNA257197
SRR1735028,SRS803809,PRJNA257197
SRR1735030,SRS803810,PRJNA257197
SRR1735021,SRS803801,PRJNA257197
SRR1735022,SRS803802,PRJNA257197
SRR1735023,SRS803803,PRJNA257197
SRR1735024,SRS803804,PRJNA257197
SRR1735025,SRS803805,PRJNA257197
SRR1735016,SRS803796,PRJNA257197
SRR1735017,SRS803797,PRJNA257197
SRR1735018,SRS803798,PRJNA257197
SRR1735019,SRS803799,PRJNA257197
SRR1735020,SRS803800,PRJNA257197
SRR1735011,SRS803791,PRJNA257197
SRR1735012,SRS803792,PRJNA257197
SRR1735013,SRS803793,PRJNA257197
SRR1735014,SRS803794,PRJNA257197
SRR1735015,SRS803795,PRJNA257197
SRR1735006,SRS803786,PRJNA257197
SRR1735007,SRS803787,PRJNA257197
SRR1735008,SRS803788,PRJNA257197
SRR1735009,SRS803789,PRJNA257197
SRR1735010,SRS803790,PRJNA257197
SRR1735001,SRS803781,PRJNA257197
SRR1735002,SRS803782,PRJNA257197
SRR1735003,SRS803783,PRJNA257197
SRR1735004,SRS803784,PRJNA257197
SRR1735005,SRS803785,PRJNA257197
SRR1734996,SRS803776,PRJNA257197
SRR1734997,SRS803777,PRJNA257197
SRR1734998,SRS803778,PRJNA257197
SRR1734999,SRS803779,PRJNA257197
SRR1735000,SRS803780,PRJNA257197
SRR1734991,SRS803771,PRJNA257197
SRR1734992,SRS803772,PRJNA257197
SRR1734993,SRS803773,PRJNA257197
SRR1734994,SRS803774,PRJNA257197
SRR1734995,SRS803775,PRJNA257197
SRR1613383,SRS722186,PRJNA257197
SRR1613384,SRS722187,PRJNA257197
SRR1734988,SRS803768,PRJNA257197
SRR1734989,SRS803769,PRJNA257197
SRR1734990,SRS803770,PRJNA257197
SRR1613381,SRS722184,PRJNA257197
SRR1613378,SRS722185,PRJNA257197
SRR1613382,SRS722185,PRJNA257197
SRR1613379,SRS722186,PRJNA257197
SRR1613380,SRS722187,PRJNA257197
SRR1564834,SRS694116,PRJNA257197
SRR1564835,SRS694117,PRJNA257197
SRR1564836,SRS694118,PRJNA257197
